ITEM,CBA,OBM,ATIVIDADE,TEM ÁREA OPERACIONAL DELIMITADA?,OBM_NOMECOMPLETO,DATA_DE_CRIAÇÃO,POPULAÇÃO DENTRO DA ÁREA OPERACIONAL (hab.),ÁREA (km2),DENSIDADE DEMOGR. (hab/km2),VIATURAS OPERACIONAIS,VIATURAS ADMINISTRATIVAS,DIVISA DE ÁREA,ENDEREÇO,Nº,BAIRRO,CEP,MUNICÍPIO,TELEFONE,LONGITUDE (x),LATITUDE (Y),G MAPS,ICONE_MAPA,LATITUDE,LONGITUDDE,UTM LATITUDE,UTM LONGITUDE,UTM ZONE
1,CBA 01,CBA 01,MEIO,NÃO,COMANDO DE BOMBEIROS DA CAPITAL - CBA I,19/02/2003,0,0,0,,,,RUA ARISTIDES CAIRE,74,MÉIER,20.751-090 ,RIO DE JANEIRO,21 23322389,"43°16'43.54""","22°53'57.53""","-22.89916, -43.27814",1_blue,-22899165,-4327815,"7466609,78","676607,28",23K
30,CBA 02,CBA 02,MEIO,NÃO,COMANDO DE BOMBEIROS DA REGIÃO SERRANA - CBA II,24/04/2000,0,0,0,,,,AVENIDA BARÃO DE RIO BRANCO,1957,RETIRO,25.690-270,PETRÓPOLIS,24 22913321,"43°10'39.27""","22°29'16.53""","-22.487883, -43.177915",2_blue,-22488104,-43177538,"7512004,38","687488,04",23K
43,CBA 03,CBA 03,MEIO,NÃO,COMANDO DE BOMBEIROS DA REGIÃO SUL - CBA III,16/02/2000,0,0,0,,,,RODOVIA PRESIDENTE DUTRA KM 232,KM 232,PIRAÍ,27.175-000,PIRAÍ,24 24317377,"43°52'38.08""","22°40'40.66""","-22.67819, -43.87726",3_blue,-22678194,-43877263,"7491667,62","615335,97",23K
54,CBA 04,CBA 04,MEIO,NÃO,COMANDO DE BOMBEIROS DA REGIÃO - Norte/Noroeste - CBA IV,14/04/2000,0,0,0,,,,AVENIDA CARLOS CHEBABY,517,GUARUS,28.070-272,CAMPOS DOS GOYTACAZES,22 27280375,,,"-21.737913, -41.327413",4_blue,-21710519,-41282329,"7597473,79","263895,28",24K
66,CBA 05,CBA 05,MEIO,NÃO,COMANDO DE BOMBEIROS DA REGIÃO DAS BAIXADAS LITORÂNEAS - CBA V,18/02/2000,0,0,0,,,,RUA GENERAL ALFREDO BRUNO GOMES MARTINS,625,BRAGA,28.908-145,CABO FRIO,22 26474773,"42°02'01.90""","22°53'37.78""","-22.89378, -42.03386",5_blue,-22893787,-42033866,"7465171,77","804306,69",23K
77,CBA 06,CBA 06,MEIO,NÃO,COMANDO DE BOMBEIROS DA REGIÃO DA BAIXADA FLUMINENSE - CBA VI,17/01/2003,0,0,0,,,,AVENIDA GOVERNADOR ROBERTO SILVEIRA,1221,NOVA IGUAÇU,26.145-000,NOVA IGUAÇU,21 26694857,"43°27'25.34""","22°44'54.34""","-22.7485, -43.45695",6_blue,-22748503,-43456959,"7483495,32","658438,16",23K
86,CBA 07,CBA 07,MEIO,NÃO,COMANDO DE BOMBEIROS DA COSTA VERDE - CBA VII,12/12/2003,0,0,0,,,,RODOVIA GOVERNADOR MÁRIO COVAS,"KM 469,5",PRAIA DO MACHADO,23.913-140,ANGRA DOS REIS,24 33654621,"44°14'49.7""W","22°59'40.4""S","-22.994563, -44.247130",7_blue,-22994563,-44247130,"7455392,75","570009,57",23K
94,CBA 08,CBA 08,MEIO,NÃO,COMANDO DE BOMBEIROS DAS ATIVIDADES ESPECIALIZADAS - CBA VIII,01/06/2003,0,0,0,,,,AVENIDA AYRTON SENNA,2001 FUNDOS,BARRA DA TIJUCA,22.775-000,RIO DE JANEIRO,21 23334404,"43°22'07.94""","22°59'33.31""","-22.99303, -43.36849",8_blue,-22993032,-43368494,"7456321,41","667223,62",23K
105,CBA 09,CBA 09,MEIO,NÃO,COMANDO DE BOMBEIROS DA REGIÃO METROPOLITANA - CBA IX,02/12/2003,0,0,0,,,,AV.QUINTINO BOCAIUVA,S/Nº,CHARITAS,24.360-020,NITERÓI,21 27157113,"43°05'56.32""","22°56'00.93""","-22.933727, -43.098915",9_blue,-22933387,-43099333,"7462594,25","694903,77",23K
114,CBA 10,CBA 10,MEIO,NÃO,COMANDO DE BOMBEIROS DE ÁREA DAS ATIVIDADES DE SALVAMENTOS MARÍTIMOS - CBA X,12/12/2012,0,0,0,,,,AVENIDA GLAUCIO GIL,S/N, RECREIO DOS BANDEIRANTES,22.795-070,RIO DE JANEIRO,21 23334506,,,"-23.02329, -43.45819",m_blue,-23023044,-43458235,"7453097,79","657988,92",23K
